words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Strahinja Pavlović-Christian Pulisic-Christian Pulisic-Christian Pulisic-Theo Bernard François Hernández-Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry,Theo Bernard François Hernández-Christian Pulisic-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Christian Pulisic-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half
Pressure,Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pressure,Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half
Duel,Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half
Goal Keeper,Mike Maignan,3945064,AC Milan,Won,1,0,First half
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt,Mike Maignan-Mike Maignan-Youssouf Fofana-Youssouf Fofana-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass,Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Pass-Ball Receipt-Carry,Youssouf Fofana-Youssouf Fofana-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pass,Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Pass-Ball Receipt,Youssouf Fofana-Youssouf Fofana-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half
Pressure,Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half
Pressure,Youssouf Fofana,3945064,AC Milan,Won,1,0,First half
Clearance-Pass-Ball Receipt,Malick Thiaw-Samuel Chimerenka Chukwueze-Noah Okafor,3945064,AC Milan,Won,1,0,First half
Pressure,Noah Okafor,3945064,AC Milan,Won,1,0,First half
