words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Shot,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Shot,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955633,Arsenal,Won,2,0,First half
Miscontrol-Ball Recovery-Shot,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Foul Committed,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Block,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Ball Recovery-Shot,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Shot,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry,3955633,Arsenal,Won,2,0,First half
Shot,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Recovery,3955633,Arsenal,Won,2,0,First half
Shield,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Foul Won-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Duel-Ball Recovery-Carry,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3955633,Arsenal,Won,2,0,First half
